"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"47","This Saturday is ur last chance in 2017 #HoCoMD to properly dispose of Household Hazardous Waste (HHW) at the… https://t.co/MaeGguHjo9",FALSE,0,NA,2017-11-22 17:05:01,TRUE,NA,"933380811348258816",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",0,FALSE,FALSE,NA,NA
"48","A guide for older adults, persons w/ disabilities &amp; caregivers, @HoCoGov OAI 2018 Resource Guide is now avail at an… https://t.co/UK9nxZ2ZUO",FALSE,1,NA,2017-11-22 15:00:02,TRUE,NA,"933349359764119553",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",1,FALSE,FALSE,NA,NA
"49","To promote awareness &amp; reduce the # of alcohol-impaired drivers on #HoCoMD rds, #HoCoPolice will be conducting a so… https://t.co/tDyEvHJhxB",FALSE,4,NA,2017-11-22 13:21:27,TRUE,NA,"933324547939618816",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",5,FALSE,FALSE,NA,NA
"50","Chosen for its innovative approach to bringing affordable, locally produced foods to #HoCoMD residents, @HoCoGov Ro… https://t.co/RseIOAzxke",FALSE,3,NA,2017-11-21 20:51:51,TRUE,NA,"933075506316152837",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",0,FALSE,FALSE,NA,NA
"51","Mark ur calendars #HoCoMD. @HoCoGovExec 1st Citizens’ Budget Hearing for FY2019 budget cycle sch for 12/11, 7 pm at… https://t.co/21VbB4kD0k",FALSE,1,NA,2017-11-21 18:28:52,TRUE,NA,"933039524363538434",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",1,FALSE,FALSE,NA,NA
"52","REMINDER #HoCoMD. @HoCoGov holiday slide sch in effect this wk for those w/ Thurs &amp; Fri trash/recycling curbside co… https://t.co/dzNxXSiSiG",FALSE,0,NA,2017-11-21 16:15:45,TRUE,NA,"933006024713306113",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",2,FALSE,FALSE,NA,NA
"53","U.S. fire departments respond to an average of 166,100 home fires per year involving cooking equipment w/… https://t.co/km2ICsB3QN",FALSE,0,NA,2017-11-21 13:41:57,TRUE,NA,"932967322079453184",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",0,FALSE,FALSE,NA,NA
"54","To ensure #HoCoMD res stay safe this holiday season, #HoCoPolice will be increasing its presence in shopping areas,… https://t.co/M6oDLuLJ9N",FALSE,3,NA,2017-11-20 19:25:31,TRUE,NA,"932691393952321536",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",2,FALSE,FALSE,NA,NA
"55","Looking for information #HoCoMD about recreational burns in the county? https://t.co/BInXwwpV9U",FALSE,0,NA,2017-11-20 17:04:56,FALSE,NA,"932656016856113152",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",0,FALSE,FALSE,NA,NA
"56","Here's what @HoCoGov DPW maintenance projects are going on this week, 11/20 thru 11/24, in #HoCoMD wx permitting: https://t.co/t8D5ZEvTqy.",FALSE,0,NA,2017-11-20 14:18:02,FALSE,NA,"932614012608663552",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",1,FALSE,FALSE,NA,NA
"57","As part of #HoCoMD Development Regulation Assessment, @HoCoGov Dept of Planning and Zoning and its consulting firm,… https://t.co/X3caxVYH6k",FALSE,0,NA,2017-11-20 13:25:55,TRUE,NA,"932600896982278145",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",1,FALSE,FALSE,NA,NA
"58","FYI #HoCoMD. @HoCoGov DPW to remove several dead trees along Trotter Rd, across from the Cricket Creek community, o… https://t.co/d9oaon9oUM",FALSE,0,NA,2017-11-17 21:05:00,TRUE,NA,"931629266759974912",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",0,FALSE,FALSE,NA,NA
"59","Looking for something to do in the coming winter months? Check out @HoCoRec 2018 Winter Activity Guide, now availab… https://t.co/znUoukvQlK",FALSE,2,NA,2017-11-17 18:30:02,TRUE,NA,"931590265978195968",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",2,FALSE,FALSE,NA,NA
"60","@HoCoGov Dept. of Public Works to hold a public mtg on Thurs, 11/30, 7 pm in the George Howard Building’s Columbia/… https://t.co/8dDWbvmE2v",FALSE,0,"HoCoGov",2017-11-17 16:43:29,TRUE,NA,"931563451255853057","161698693","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",0,FALSE,FALSE,NA,NA
"61","FYI #HoCoMD. https://t.co/vA1oWRn9iI",FALSE,1,NA,2017-11-16 16:47:21,FALSE,NA,"931202036896542720",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",0,FALSE,FALSE,NA,NA
"62","REMINDER: @HoCoGov offices and more will be CLOSED nxt Thurs, 11/23 &amp; Fri, 11/24 for the #Thanksgiving holiday. No… https://t.co/De62WOPmKd",FALSE,1,NA,2017-11-16 16:47:07,TRUE,NA,"931201980692942851",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",0,FALSE,FALSE,NA,NA
"63","@HoCoHealth survey: 1 in 12 #HoCoMD adults smoke. Make a pledge to quit smoking or show ur support 2day #GASO.… https://t.co/Y8s2buh5zn",FALSE,1,"HoCoHealth",2017-11-16 14:00:02,TRUE,NA,"931159932963082241","22646424","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",1,FALSE,FALSE,NA,NA
